law_id,law_name,article_no,article_title
eb58af5c-dcbc-4792-becd-9594462b3794,빛공해공정시험기준,1,"「빛공해공정시험기준」의 자세한 내용은 상단 메뉴 ""<i"
6a857a0c-add1-403c-8261-8b162d98b271,실내공기질공정시험기준,1,「실내공기질공정시험기준 」의 자세한 내용은 상단 메뉴
2a32487f-95b0-4489-9dfc-f19d2e24c87b,전기용품 안전기준 부적합시 처리기준,1,처리기준
2a32487f-95b0-4489-9dfc-f19d2e24c87b,전기용품 안전기준 부적합시 처리기준,2,재검토기한
7e8208a1-3ab8-4b95-9bc3-aed8a70b0458,전기용품 안전기준(KC 60335-2-29),1,전문
53d2cde0-8f43-4b6a-9724-066c11b3bdb2,전기용품 안전기준(KC 60335-2-44),1,전문
abe90a0b-d2d9-47b6-afa3-c4a304614578,전기용품 안전기준(KC 60335-2-82),1,전문
04172abe-b576-454f-a073-d0f91443bd18,전기용품 안전기준(KC 60335-2-84),1,전문
8b6c608a-8f89-4d40-adee-fa48ce47cdab,전기용품 안전기준(KC 60745-2-6),1,전문
51f0285d-b6e3-49a6-9e62-4edd07318f6f,전기용품 안전기준(KC 60929),1,전문
ad3d8b14-b65a-4b9d-849e-204ddd9530df,전기용품 안전기준(KC 61199),1,전문
f12549e4-f112-4b7b-a8b3-fa33eca70f8e,전기용품 안전기준(KC 61347-1),1,전문
b3cbed8b-6543-4c5c-b4f4-e45ab8d83c55,전기용품 안전기준(KC 61347-2-13),1,전문
91f7d388-cd3e-4409-9dc5-dc252af8feb6,전기용품 안전기준(KC 61347-2-8),1,전문
64f6e725-4d62-4eb5-b1fc-47505dee312a,전기용품 안전기준(KC 61851-1),1,전문
ad743791-ddfa-4102-8a41-20b7710d8802,증축형 리모델링 안전진단기준,4,4 -1 (재검토기한) 국토교통부장관은 이 고시에 대하여 「훈령ㆍ예규 등의 발령 및 관리에 관한 규정」에 따라 2021년 1월 1일 기준으로 매 3년이 되는 시점(매 3년째의 12월 
ad743791-ddfa-4102-8a41-20b7710d8802,증축형 리모델링 안전진단기준,1,"1 -3-1. 시장ㆍ군수는 증축형 리모델링을 위한 안전진단의 실시 여부를 결정하기 위하여 도시 및 주거환경정비법(이하 ""도시정비법""이라 한다) 제12조제3항 및 주택 재건축 판정을 위"
ad743791-ddfa-4102-8a41-20b7710d8802,증축형 리모델링 안전진단기준,2,"2 -1-5. 안전진단 기관은 구조설계자 및 관련 토질및기초기술사와 함께 지질조사를 실시하고 지반특성, 말뚝 근입깊이를 고려하여 다음의 검증된 계산식에 의해 기존 말뚝의 설계지지력을 "
ad743791-ddfa-4102-8a41-20b7710d8802,증축형 리모델링 안전진단기준,3,"3 -2-2. 평가항목별 평가등급 및 기준은 1차 안전진단과 동일하게 하며, 평가항목별 조사할 표본 및 수량은 다음의 방식으로 정한다."
