law_name,scope_arts,total_arts
형법,0,27
도시가스 안전관리기준 통합고시,0,17
도시가스시설 등의 검사수수료 및 교육비 기준,0,9
액화석유가스시설 등의 검사수수료 및 교육비기준,0,7
수소가스시설 등의 검사수수료 및 교육비 기준,0,5
증축형 리모델링 안전진단기준,0,4
주택 재건축 판정을 위한 재건축진단 기준,0,4
건축물 에너지효율등급 인증기관 지정 고시,0,3
액화석유가스 안전대책의 효율적 추진을 위한 용기관리 및 소비자보호에 관한 기준,0,3
전기용품 안전기준 부적합시 처리기준,0,2
유해화학물질 안전교육 전문기관의 지정,0,2
에너지 절약계획서 검토 전문기관 지정 고시,0,2
생활용품 안전기준 부적합시 처리기준,0,2
진료권역별 상급종합병원의 소요병상수,0,2
전기용품 안전기준(KC 62368-1),0,1
전기용품 안전기준(KC 60947-2),0,1
전기용품 안전기준(KC 60598-2-20),0,1
전기용품 안전기준(KC 60335-2-23),0,1
전기용품 안전기준(KC 60335-2-70),0,1
전기용품 안전기준(KC 60335-2-17),0,1
전기용품 안전기준(KC 10023),0,1
전기용품 안전기준(KC 61851-1),0,1
전기용품 안전기준(KC 60745-2-16),0,1
전기용품 안전기준(KC 60884-1),0,1
잔류성유기오염물질공정시험기준,0,1
전기용품 안전기준(KC 10025),0,1
전기용품 안전기준(KC 61199),0,1
전기용품 안전기준(KC 60335-2-60),0,1
전기용품 안전기준(KC 60335-2-25),0,1
전기용품 안전기준(KC 62035),0,1
전기용품 안전기준(KC 60598-1),0,1
전기용품 안전기준(KC 60745-2-6),0,1
열사용기자재의 검사 및 검사면제에 관한 기준,0,1
전기용품 안전기준(K 10021),0,1
전기용품 안전기준(KC 62196-2),0,1
전기용품 안전기준(KC 60335-2-43),0,1
전기용품 안전기준(KC 60335-2-58),0,1
전기용품 안전기준(KC 60335-2-7),0,1
친환경주택 에너지절약계획 전문기관 변경 지정 고시,0,1
전기용품 안전기준(KC 60598-2-1),0,1
전기용품 안전기준(KC 60745-2-1),0,1
전기용품 안전기준(KC 60968),0,1
전기용품 안전기준(KC 60745-2-9),0,1
전기용품 안전기준(KC 61347-1),0,1
전기용품 안전기준(KC 60745-2-17),0,1
온실가스공정시험기준,0,1
전기용품 안전기준(KC 62752),0,1
전기용품 안전기준(KC 60335-2-31),0,1
전기용품 안전기준(KC 61347-2-13),0,1
전기용품 안전기준(KC 60335-2-65),0,1
수질오염공정시험기준,0,1
전기용품 안전기준(KC 60335-2-11),0,1
실내공기질공정시험기준,0,1
환경유해인자공정시험기준,0,1
전기용품 안전기준(KC 60335-2-44),0,1
전기용품 안전기준(KC 61195),0,1
먹는물수질공정시험기준,0,1
전기용품 안전기준(KC 60400),0,1
전기용품 안전기준(KC 60335-2-82),0,1
전기용품 안전기준(KC 10018),0,1
전기용품 안전기준(KC 60335-2-80),0,1
전기용품 안전기준(KC 60745-2-14),0,1
전기용품 안전기준(KC 60335-2-24),0,1
전기용품 안전기준(KC 60745-1),0,1
전기용품 안전기준(KC 60335-2-15),0,1
전기용품 안전기준(KC 61347-2-8),0,1
전기용품 안전기준(KC 61347-2-12),0,1
전기용품 안전기준(KC 60335-2-79),0,1
전기용품 안전기준(KC 60598-2-8),0,1
전기용품 안전기준(KC 60335-2-6),0,1
전기용품 안전기준(KC 60335-2-29),0,1
전기용품 안전기준(KC 62031),0,1
전기용품 안전기준(KC 60598-2-2),0,1
전기용품 안전기준(KC 60335-2-21),0,1
가정용 섬유제품인 방한대 중 부직포 마스크 제품의 예비안전기준,0,1
안전기준 등록,0,1
토양오염공정시험기준,0,1
전기용품 안전기준(KC 61347-2-9),0,1
전기용품 안전기준(KC 60745-2-13),0,1
전기용품 안전기준(KC 60598-2-21),0,1
폐기물공정시험기준,0,1
전기용품 안전기준(KC 60745-2-15),0,1
전기용품 안전기준(KC 60335-2-84),0,1
전기용품 안전기준(K 10020),0,1
수도용 자재 및 제품의 위생안전기준 공정시험방법,0,1
전기용품 안전기준(KC 60929),0,1
전기용품 안전기준(KC 60745-2-2),0,1
전기용품 안전기준(KC 60838-2-2),0,1
전기용품 안전기준(KC 60335-2-100),0,1
전기통신사업용 무선설비의 기술기준,0,1
전기용품 안전기준(KC 62619),0,1
전기용품 안전기준(KC 60598-2-4),0,1
"「고압가스안전관리법」 제22조의2, 「액화석유가스의 안전관리 및 사업법」제45조, 「도시가스사업법」 제17조의5조에 따른 가스기술기준(상세기준)",0,1
전기용품 안전기준(KC 60335-2-35),0,1
2025년 재외한국학교안전공제료 산정기준 고시,0,1
유해화학물질공정시험기준,0,1
대기오염공정시험기준,0,1
전기용품 안전기준(KC 60335-2-102),0,1
소음·진동공정시험기준,0,1
전기용품 안전기준(KC 61050),0,1
전기용품 안전기준(KC 60335-2-40),0,1
전기용품 안전기준(KC 60335-1),0,1
전기용품 안전기준(KC 62133-2),0,1
"「액화석유가스의 안전관리 및 사업법」제45조, 「도시가스사업법」 제17조의5조에 따른 가스기술기준(상세기준)",0,1
전기용품 안전기준(KC 60598-2-5),0,1
전기용품 안전기준(KC 60927),0,1
빛공해공정시험기준,0,1
전기용품 안전기준(KC 60745-2-8),0,1
악취공정시험기준,0,1
전기용품 안전기준(KC 60335-2-71),0,1
