law_id,law_name,article_no,article_title,article_text
4673f586-c098-4ca6-af62-a2dc9ce23797,건설기계 안전기준에 관한 규칙,1,목적,제1조(목적) 이 규칙은 「건설기계관리법」 제12조에 따라 건설기계의 안전한 운행 또는 사용에 지장이 없도록 건설기계의 구조ㆍ규격 및 성능 등에 관한 기준을 정함을 목적으로 한다.
4673f586-c098-4ca6-af62-a2dc9ce23797,건설기계 안전기준에 관한 규칙,1,,제1장 총칙
4673f586-c098-4ca6-af62-a2dc9ce23797,건설기계 안전기준에 관한 규칙,2,정의,"제2조(정의) 이 규칙에서 사용하는 용어의 뜻은 다음과 같다. <개정 2009.10.21, 2013.5.27, 2018.6.1, 2020.7.31, 2021.8.27>
  [1.] 1.  ""중심선""이란 타이어식 건설기계에서는 가장 앞의 차축의 중심점과 가장 뒤의 차축의 중심점을 통과하는 직선을, 무한궤도식에서는 양쪽 무한궤도 사이의 중심점을 지나는 지면에 평행한 종단방향의 직선을 말한다.
  [2.] 2.  ""중심면""이란 건설기계의 중심선을 포함하는 지면에 수직한 면을 말한다.
  [3.] 3.  ""타이어식 건설기계의 축선""이란 같은 차축에 연결되어 있는 좌ㆍ우측 바퀴 각각의 중심을 연결하는 직선으로서 건설기계의 중심면과 직각으로 교차하는 것을 말한다.
  [4.] 4.  ""무한궤도식 건설기계의 축선""이란 좌ㆍ우측 유동륜 각각의 중심을 연결하는 직선 및 좌ㆍ우측 구동륜(驅動輪)의 중심을 연결하는 직선으로서 건설기계의 중심면과 직각으로 교차하는 것을 말한다.
  [5.] 5.  ""길이""란 작업장치를 부착한 자체중량 상태인 건설기계의 앞뒤 양쪽 끝이 만드는 두 개의 횡단방향의 수직평면 사이의 최단거리를 말한다. 다만, 다음 각 목의 장치는 건설기계의 앞뒤 양쪽 끝에 포함하지 않는다.
    [가.] 가.  후사경 및 그 고정용 장치
    [나.] 나.  적재함 덮개 및 그 고정용 장치
    [다.] 다.  토공건설기계의 출입문 손잡이 및 출입문 고정용 장치
    [라.] 라.  시야확보를 위한 카메라 및 그 고정장치
  [6.] 6.  ""너비""란 작업장치를 부착한 자체중량 상태의 건설기계의 좌우 양쪽 끝이 만드는 두 개의 종단방향의 수직평면 사이의 최단거리를 말한다. 다만, 다음 각 목의 장치는 건설기계의 좌우 양쪽 끝에 포함하지 않는다.
    [가.] 가.  후사경 및 그 고정용 장치
    [나.] 나.  적재함 덮개 및 그 고정용 장치
    [다.] 다.  토공건설기계의 출입문 손잡이 및 출입문 고정용 장치
    [라.] 라.  시야확보를 위한 카메라 및 그 고정장치
  [7.] 7.  ""높이""란 작업장치를 부착한 자체중량 상태의 건설기계의 가장 위쪽 끝이 만드는 수평면으로부터 지면까지의 최단거리를 말한다.
  [8.] 8.  ""최저지상고""란 작업장치를 부착한 자체중량 상태인 건설기계의 중심면으로부터 좌우 각각의 방향으로 윤거 또는 트랙중심간거리의 100분의 25에 해당하는 거리 이내에 위치하는 차체의 가장 낮은 부분에서 지면까지의 최단거리를 말한다.
  [9.] 9.  ""슈판""이란 무한궤도를 구성하는 요소로서 금속, 합성수지 또는 고무 등으로 된 판을 말한다.
  [10.] 10.  ""슈폭""이란 슈판의 횡단방향 양 끝을 지나는 종단방향 두 개의 수직평면 사이의 최단거리를 말한다.
  [11.] 11.  ""트랙""이란 슈판이 링크에 의하여 연결된 것을 말한다.
  [12.] 12.  ""무한궤도""란 트랙 양쪽 끝의 슈판이 핀 또는 볼트 등의 이음장치에 의하여 연속적으로 연결된 것을 말한다.
  [13.] 13.  ""그라우저""란 슈판의 바깥부분으로부터 돌출된 핀을 말한다.
  [14.] 14.  ""축간거리""란 타이어식 건설기계의 앞 차축과 뒤 차축 각각의 중심을 지나는 두 개의 횡단방향 수직면 사이의 최단거리를 말하며, 차축이 3개 이상인 경우에는 앞쪽의 축간거리부터 제1축간거리, 제2축간거리, 제3축간거리 등으로 한다.
  [15.] 15.  ""텀블러중심간거리""란 수평면에 놓인 무한궤도식 건설기계의 구동륜과 유동륜 각각의 축 중심을 지나는 두 개의 횡단방향 수직면 사이의 최단거리를 말한다. 다만, 삼각궤도의 경우에는 전방유동륜과 후방유동륜 각각의 축 중심을 지나는 두 개의 횡단방향 수직면 사이의 최단거리를 말한다.
  [16.] 16.  ""윤거(輪距)""란 타이어식 건설기계의 마주보는 좌우 바퀴 폭의 중심(겹바퀴인 경우에는 겹바퀴 폭의 중심을 말한다)을 지나는 두 개의 종단방향 수직면 사이의 최단거리를 말하며, 앞쪽의 윤거부터 제1윤거, 제2윤거 등으로 한다.
  [17.] 17.  ""트랙중심간거리""란 무한궤도식 건설기계의 좌우 트랙 폭의 중심을 지나는 두 개의 종단방향 수직면 사이의 최단거리를 말한다.
  [18.] 18.  ""자체중량""이란 연료, 냉각수 및 윤활유 등을 가득 채우고 휴대 공구, 작업 용구 및 예비 타이어(예비 타이어를 장착하도록 한 건설기계에만 해당한다)를 싣거나 부착하고, 즉시 작업할 수 있는 상태에 있는 건설기계의 중량을 말한다. 이 경우 조종사의 체중은 제외하며, 타워크레인은 보조적인 지지ㆍ고정 등의 수단 없이 자체적인 힘으로 서 있을 수 있는 상태에서의 중량으로 한다.
  [19.] 19.  ""운전중량""이란 자체중량에 건설기계의 조종에 필요한 최소의 조종사가 탑승한 상태의 중량을 말하며, 조종사 1명의 체중은 65킬로그램으로 본다.
  [20.] 20.  ""최대적재중량""이란 건설기계에 적재가 허용되는 물질을 허용된 장소에 최대로 적재하였을 때 적재된 물질의 중량을 말한다.
  [21.] 21.  ""총중량""이란 자체중량에 최대적재중량과 조종사를 포함한 승차인원의 체중을 합한 것을 말하며, 승차인원 1명의 체중은 65킬로그램으로 본다.
  [22.] 22.  ""윤하중""이란 수평상태에 있는 건설기계 중량으로 인하여 각각의 바퀴에 가해지는 하중을 말한다.
  [23.] 23.  ""축하중""이란 수평상태에 있는 타이어식 건설기계의 하나의 차축에 연결된 모든 바퀴의 윤하중을 합한 것을 말하며, 총중량 상태와 자체중량 상태에 대하여 각각 구한다.
  [24.] 24.  ""제동거리""란 일정한 제동초속도로 주행 중인 건설기계가 급제동하는 경우 제동장치를 동작시키는 순간부터 정지한 때까지 주행한 거리를 말하고, 평탄하고 건조한 아스팔트 포장노면을 기준으로 한다.
  [25.] 25.  ""제동초속도""란 조종사가 제동의 필요성을 인식한 순간의 건설기계 주행속도를 말한다.
  [26.] 26.  ""최소회전반경""이란 수평면에 놓인 건설기계가 선회할 때 바퀴 또는 기동륜의 중심이 그리는 원형 궤적 가운데 가장 큰 반지름을 가지는 궤적의 반지름을 말한다.
  [27.] 27.  ""최고주행속도""란 평탄하고 건조한 아스팔트 포장노면에서 운전중량 상태의 건설기계가 주행할 수 있는 최고속도를 말한다.
  [28.] 28.  ""정격출력""이란 건설기계의 목적에 맞게 장치된 원동기가 연속적으로 낼 수 있는 출력의 최고치를 말한다.
  [29.] 29.  ""최대토크""란 원동기가 낼 수 있는 토크(torque)의 최대값을 말한다.
  [30.] 30.  ""등판능력""이란 운전중량 상태의 건설기계가 경사지면을 올라갈 수 있는 능력을 말하며 경사지면의 최대 경사각으로 표시한다. 다만, 다음 각 목의 건설기계에 대하여는 최대적재중량 상태를 기준으로 한다
    [가.] 가.  지게차
    [나.] 나.  덤프트럭
    [다.] 다.  삭제 <2009.10.21>
    [라.] 라.  콘크리트믹서트럭
    [마.] 마.  아스팔트살포기
  [31.] 31.  ""백호(backhoe)""란 버킷(bucket)의 굴착 방향이 조종사 쪽으로 끌어 당기는 방향인 것을 말한다.
  [32.] 32.  ""쇼벨(shovel)""이란 버킷의 굴착 방향이 백호와 반대인 것을 말한다.
  [33.] 33.  ""대형건설기계""란 다음 각 호의 어느 하나에 해당하는 건설기계를 말한다
    [가.] 가.  길이가 16.7미터를 초과하는 건설기계
    [나.] 나.  너비가 2.5미터를 초과하는 건설기계
    [다.] 다.  높이가 4.0미터를 초과하는 건설기계
    [라.] 라.  최소회전반경이 12미터를 초과하는 건설기계
    [마.] 마.  총중량이 40톤을 초과하는 건설기계. 다만, 굴착기, 로더 및 지게차는 운전중량이 40톤을 초과하는 경우를 말한다.
    [바.] 바.  총중량 상태에서 축하중이 10톤을 초과하는 건설기계. 다만, 굴착기, 로더 및 지게차는 운전중량 상태에서 축하중이 10톤을 초과하는 경우를 말한다.
  [34.] 34.  ""전기식 건설기계""란 축전지 또는 외부의 전원을 동력으로 사용하여 운행 또는 사용할 목적으로 제작된 건설기계를 말한다.
  [35.] 35.  ""트럭식건설기계""란 국제표준화기구(ISO)에서 정한 제작자식별부호(WMI)를 배정받은 자가 생산한 자동차를 이용하여 제작한 건설기계를 말한다.
  [36.] 36.  ""토공건설기계""란 토사 등을 직접 굴착, 적재, 운반, 운송, 살포 및 다짐 등의 작업을 하는 건설기계로서 불도저, 굴착기, 로더, 스크레이퍼, 덤프트럭, 모터그레이더, 롤러, 천공기, 항타 및 항발기를 말한다. 다만 트럭식건설기계는 제외한다.
  [37.] 37.  ""전도보호구조""란 건설기계가 넘어졌을 때 좌석벨트를 착용한 조종사가 눌려 다칠 위험을 줄이도록 한 구조를 말한다.
  [38.] 38.  ""전복보호구조""란 건설기계가 전복되었을 때 좌석밸트를 착용한 조종사가 눌려 다칠 위험을 줄이도록 한 구조를 말한다.
  [39.] 39.  ""낙하물보호구조""란 조종실 위쪽에서 낙하하는 물체로부터 조종사를 보호하는 구조를 말한다.
  [40.] 40.  ""변형한계체적""이란 안전모를 착용한 조종사가 조종석에 앉은 상태에서 조종사를 보호할 수 있는 최소 공간을 말하며, 치수는 별표 1에 따른다.
  [41.] 41.  ""착석기준점""이란 다음 각 목에서 정한 기준을 적용하여 정한 표준설계위치 또는 「건설기계관리법」 제20조제1항에 따라  건설기계형식에 관한 승인을 얻거나 그 형식을 신고한 자(이하 ""제작자등""이라 한다)가 정하는 표준설계위치를 말한다.
    [가.] 가.  토공건설기계는 좌석을 앞뒤 및 위아래로 조절할 수 있는 경우에 중심위치로 조절하고, 좌석의 등받이도 중심위치로 조절한 상태
    [나.] 나.  토공건설기계 외의 건설기계는 좌석을 앞뒤로 조절할 수 있는 경우에는 가장 뒤에 좌석을 위치시키고, 좌석을 위아래로 조절할 수 있는 경우에는 가장 낮은 위치에 좌석을 위치시키며, 좌석의 등받이를 조절할 수 있는 경우에는 표준설계각도로 조절한 상태
  [42.] 42.  ""주제동장치""란 조종사가 건설기계를 감속 또는 정지하기 위하여 사용하는 주된 감속장치를 말한다.
  [43.] 43.  ""바퀴잠김방지식 주제동장치""란 바퀴의 회전량을 감지ㆍ분석하여 바퀴의 제동력을 조절하여 줌으로써 제동시 바퀴의 미끄러짐량을 자동적으로 조절하여 주는 장치를 말한다.
  [44.] 44.  ""보조제동장치""란 주제동장치의 부하를 감소시키기 위한 장치로서 장시간에 걸쳐 제동의 효과를 유지할 수 있는 배기제동장치 등을 말한다.
  [45.] 45.  ""트랙높이""란 무한궤도 트랙의 가장 높은 부분에서 지면까지의 최단거리를 말한다. 이 경우 그라우저는 없는 것으로 본다.
  [46.] 46.  ""구동축전지""란 건설기계의 작업 및 구동(驅動)을 목적으로 전기에너지를 저장하는 축전지 또는 이와 유사한 기능을 하는 전기에너지 저장매체를 말한다.
  [47.] 47.  ""구동전동기""란 건설기계의 구동을 목적으로 전기에너지를 회전운동하는 기계적 에너지로 변환하는 장치를 말한다.
  [48.] 48.  ""고전원전기장치""란 구동축전지, 전력변환장치, 구동전동기, 연료전지 등의 전기장치 중 작동전압이 직류 60볼트 초과 1,500볼트 이하이고, 교류(실효치를 말한다) 30볼트 초과 1,000볼트 이하의 전기장치를 말한다.
  [49.] 49.  ""활선도체부""란 통상적인 사용상태에서 전기적으로 통전(通電)되는 도체(導體) 또는 도전성(導電性)부위를 말한다.
  [50.] 50.  ""수소연료전지""란 수소를 사용하여 전기에너지를 발생시키는 장치를 말한다.
  [51.] 51.  ""수소연료전지건설기계""란 수소연료전지를 동력원으로 사용하는 건설기계를 말한다.
  [52.] 52.  ""비상자동제동장치""란 주행 중 전방충돌 상황을 감지하여 충돌을 완화하거나 회피할 목적으로 건설기계를 감속 또는 정지시키기 위하여 자동으로 제동장치를 작동시키는 장치를 말한다.
  [53.] 53.  ""차로이탈경고장치""란 건설기계가 주행하는 차로를 조종사의 의도와는 무관하게 벗어나는 경우 이를 조종사에게 경고하는 장치를 말한다."
4673f586-c098-4ca6-af62-a2dc9ce23797,건설기계 안전기준에 관한 규칙,3,무한궤도식 건설기계의 접지압,"제3조(무한궤도식 건설기계의 접지압)
[①] ①무한궤도식 건설기계의 접지압은 다음 산식에 의하여 계산한다
				
				<img src=""http://www.law.go.kr/flDownload.do?flSeq=34720670""  alt=""img34720670"" >
				
				┌──────────────────────────────┐
				
				│  접지압 =  운전중량(킬로그램)                              │
				
				│          ─────────────────────────│
				
				│            트랙의 수×슈폭(센티미터)×접지길이(센티미터)   │
				
				└──────────────────────────────┘
				
				</img>
[②] ② 제1항에서 ""접지길이""란 텀블러중심간거리와 무한궤도 길이(텀블러중심간거리의 연장선상에 있는 트랙의 최외측 간의 거리를 말한다. 이 경우 그라우저는 없는 것으로 본다)에서 텀블러중심간거리를 뺀 거리의 100분의 35에 해당하는 길이를 더한 길이를 말한다. <개정 2013.5.27>"
4673f586-c098-4ca6-af62-a2dc9ce23797,건설기계 안전기준에 관한 규칙,4,버킷의 용적,"제4조(버킷의 용적)
[①] ① 버킷은 토사 등을 굴착 또는 적재하기 위한 용기를 말하며, 버킷에 담을 수 있는 용적은 평적 및 산적으로 구분하고, 버킷의 용적 표시는 산적으로 한다. <개정 2013.5.27, 2020.7.31>
[②] ②제1항에서 ""평적""이란 버킷의 평적면 또는 평적표면 아래 부분의 용적을 말하고, 다음 산식에 의하여 계산한다.
				
				  평적 = S1ㆍW1 (x/y ≥ 12 인 경우)
				
				  평적 = S1ㆍW1ㆍ(1-y/x) (x/y 〈 12 인 경우)
				
				  W1：버킷의 양쪽 측판 내측 사이의 최단거리
				
				  S1：버킷 한쪽 측면 중 평적면 아래 부분의 단면적(x/y 〈12 인 경우에는 실제 버킷의 단면적을 말한다)
				
				  x：평적선의 길이
				
				  y：평적면으로부터 평적표면 최저점까지의 최단거리
[③] ③ 제2항에서 ""평적면""이란 평적선을 포함하는 평면 중 버킷 안쪽의 면을 말한다.
[④] ④제2항에서 ""평적선""이란 버킷 후판 윗면의 중심점과 굴착날의 중심점을 연결한 직선을 말하고, ""평적표면""이란 평적선의 양 끝점과 버킷 측판의 최저점을 곡면의 네 개의 점으로 하는 원통형태 중 평적면 아래의 부분을 말하고, 이를 예시하면 다음과 같다. <개정 2020.7.31> 
				
				    <img src=""http://www.law.go.kr/flDownload.do?flSeq=12865698""  alt=""img12865698"" >
				
				      (예시)
				
				  평적표면
				
				  평적선
				
				  x
				
				  y
				
				</img>
[⑤] ⑤ 제1항에서 ""산적""이란 평적과 덧쌓인 용적을 합한 것을 말한다.
[⑥] ⑥ 제5항에서 ""덧쌓인 용적""이란 평적의 윗부분에 쌓여있는 굴착물의 용적을 말한다.
[⑦] ⑦ 제6항에 따른 덧쌓인 용적 산출 시 덧쌓인 굴착물의 기울기[수평거리에 대한 높이의 비율(높이 : 수평거리)을 말한다]는 다음 각 호와 같다. <개정 2009.10.21>
  [1.] 1.  쇼벨계의 경우 평적면 상부 각각의 모서리에서 안쪽으로 1:2의 기울기
  [2.] 2.  백호계의 경우 평적면 상부 각각의 모서리에서 안쪽으로 1:1의 기울기"
4673f586-c098-4ca6-af62-a2dc9ce23797,건설기계 안전기준에 관한 규칙,5,적용범위,"제5조(적용범위)
[①] ① 이 규칙은 건설기계에 적용하고, 건설기계의 구조ㆍ규격 및 성능 등에 관하여 이 규칙에서 정하지 아니한 것은 「산업표준화법」제12조에 따른 한국산업표준(이하 ""한국산업표준""이라 한다)이 정하는 바에 따른다. <개정 2009.10.21>
[②] ② 제1항에도 불구하고 특수한 용도로 제작되거나 특수한 장소에서 효율적으로 성능이 발휘되도록 제작되는 건설기계에 대하여는 국토교통부장관이 따로 기준을 정할 수 있다. <개정 2008.3.14, 2013.3.23>"
4673f586-c098-4ca6-af62-a2dc9ce23797,건설기계 안전기준에 관한 규칙,6,,제2장 건설기계의 작업장치
4673f586-c098-4ca6-af62-a2dc9ce23797,건설기계 안전기준에 관한 규칙,6,배토판 및 굴착각,"제6조(배토판 및 굴착각)
[①] ① ""배토판""이란 불도저가 토사 및 골재 등을 굴착, 성토(흙쌓기), 정지(땅고르기) 및 메움 작업을 하는 데에 사용하는 곡선 단면을 가지는 금속제 판을 말한다. <개정 2020.7.31, 2021.8.27>
[②] ② ""절삭날""이란 배토판의 마모를 방지하기 위하여 배토판의 하단에 장착되어 지면에 선접촉하는 좁고 긴 금속판을 말한다. 이 경우 절삭날을 장착하지 아니한 불도저는 배토판의 하단을 절삭날로 본다."
4673f586-c098-4ca6-af62-a2dc9ce23797,건설기계 안전기준에 관한 규칙,7,앵글량 및 틸트량,"제7조(앵글량 및 틸트량) ""앵글량""이란 배토판의 좌우로 대칭되는 양 끝 점을 연결하는 직선이 불도저의 중심면에 직각인 면과 이루는 각도를 말하고, ""틸트량""이란 배토판의 좌단 또는 우단이 지면에 대하여 상하로 움직일 경우의 수직 변위를 말하며, 이를 예시하면 다음과 같다.
		
		<img src=""http://www.law.go.kr/flDownload.do?flSeq=12865829""  alt=""img12865829"" >
		
		(예  시)
		
		</img>"
4673f586-c098-4ca6-af62-a2dc9ce23797,건설기계 안전기준에 관한 규칙,8,등판능력 및 제동장치,"제8조(등판능력 및 제동장치)
[①] ① 무한궤도식 불도저는 기울기가 30도인 지면을 올라갈 수 있어야 한다.
[②] ② 무한궤도식 불도저는 기울기가 30도인 지면에서 정지상태를 유지할 수 있는 제동장치 및 제동잠금장치를 갖추어야 한다."
