== rule_id를 가진 컬럼이 있는 테이블 탐색: rule_candidate ==
  table_schema   |                      table_name                       
-----------------+-------------------------------------------------------
 pg_catalog      | pg_hba_file_rules
 pg_catalog      | pg_rules
 public          | master_rule_relation
 engine_isolated | diagnosis_rule_results
 public          | defect_rules
 public          | import_transform_rules
 public          | rule_classify_if_pattern
 public          | rule_objectify
 public          | _deprecated_master_legal_inspection_rules
 public          | law_rule_source_map
 public          | law_rule_drafts
 public          | import_mapping_rules
 public          | master_building_legal_rules_legacy_contaminated
 archive         | price_travel_rule
 public          | doc_rule_mapping
 public          | master_legal_rules_archive
 public          | doc_rule_mapping_preserved
 public          | master_rule_v2
 public          | master_rule_scope
 public          | master_rule_v2_value
 public          | rule_candidate_slot
 public          | master_rule_executor
 public          | runtime_state_transition_rule
 public          | runtime_rule_activation
 public          | automation_rule
 public          | inspection_rule_mapping
 public          | rule_ending_normalize
 public          | flow_integrity_rule_registry
 public          | document_requirement_rule
 public          | field_rule_mapping
 public          | doc_rule_mapping_pending_review
 public          | admrule_kr_mapping_raw
 public          | master_legal_rules_pending_review_legacy_contaminated
 public          | master_legal_rules_preserved_legacy_contaminated
 public          | rule_candidate
 public          | rule_candidate_relation
 public          | rule_article_mapping
 public          | rule_classification
 public          | rule_classify_subtype
 public          | rule_clause_split
 public          | rule_pos_to_role
 public          | rule_doc_mapping
 public          | master_rule_v2_relation
 public          | master_rule_scope_mapping
 public          | master_rule_scope_threshold
 public          | master_rule_condition
 public          | master_rule_exception
 public          | precedent_rule_links
 public          | alert_rule_registry
 public          | runtime_notification_recipient_rule
 public          | alert_rule_registry_v2
 public          | workflow_integrity_rule_registry
 public          | legal_sieve_rule
(53개 행)

== diagnosis 관련 테이블 ==
  table_schema   |             table_name             
-----------------+------------------------------------
 public          | factory_diagnosis_results
 engine_isolated | diagnosis_rule_results
 public          | diagnosis_disclaimer_log
 public          | diagnosis_input_fields
 public          | runtime_obligation_schedule_policy
 engine_isolated | diagnosis_candidate
 public          | diagnosis_penalty_link
 public          | diagnosis_session
 public          | diagnosis_schedule_hint
 public          | public_diagnosis_requests
 public          | diagnosis_purchases
 public          | diagnosis_auth_log
 public          | legal_obligations
 staging         | obligation_candidate_dryrun
 public          | obligation_form_mapping
 public          | price_diagnosis_report
 engine_isolated | obligation_instance
 public          | anonymous_diagnosis_results
 public          | runtime_obligation_registry
 public          | runtime_obligation_assignment
 public          | runtime_obligation_execution_type
 public          | penalty_obligation_relation
 archive         | price_diagnosis_report
 public          | obligation_quality
 public          | admin_obligation_queue
 archive         | diagnosis_input_draft
(26개 행)

