mapped_field,atom_count,true_count,false_count,status
has_hazardous_material,45,14,1,COVERED
has_diving,25,10,1,COVERED
has_crane,23,45,0,COVERED
has_excavation,23,5,1,COVERED
has_dust_work,20,22,0,COVERED
has_elevator,19,37,0,COVERED
has_scaffold,18,28,0,COVERED
has_confined_space,15,12,1,COVERED
has_welding,15,12,0,COVERED
has_pile_work,14,19,0,COVERED
has_concrete_work,13,15,0,COVERED
has_asbestos,10,10,1,COVERED
worker_count,9,294,294,COVERED
has_subcontractor,8,15,1,COVERED
has_forklift,7,23,0,COVERED
has_radiation,7,9,1,COVERED
has_conveyor,6,21,0,COVERED
has_gas,6,10,1,COVERED
has_boiler,5,43,0,COVERED
has_grinding,5,19,1,COVERED
has_blasting,4,19,0,COVERED
has_high_place_work,4,1,1,COVERED
has_noise_work,4,1,1,COVERED
has_rolling,4,6,1,COVERED
has_steel_frame,4,11,0,COVERED
has_demolition,3,11,0,COVERED
has_gondola,3,1,1,COVERED
has_high_pressure_gas,3,26,0,COVERED
has_pressure_vessel,3,24,0,COVERED
has_chemical,2,10,1,COVERED
is_multi_use,2,1,1,COVERED
has_casting,1,1,1,COVERED
has_emergency_broadcast,1,1,1,COVERED
has_emergency_gen,1,9,0,COVERED
has_hazmat_storage,1,1,1,COVERED
has_painting,1,1,1,COVERED
has_press,1,10,0,COVERED
has_water_tank,1,1,1,COVERED
total_floor_area,1,91,91,COVERED
