mapped_field,kind,atom_count,true_count,false_count,numeric_present,status
has_hazardous_material,boolean,45,9,1,,BOTH_COVERED
has_diving,boolean,25,10,1,,BOTH_COVERED
has_crane,boolean,23,43,1,,BOTH_COVERED
has_excavation,boolean,23,10,1,,BOTH_COVERED
has_dust_work,boolean,20,11,1,,BOTH_COVERED
has_elevator,boolean,19,28,1,,BOTH_COVERED
has_scaffold,boolean,18,18,1,,BOTH_COVERED
has_confined_space,boolean,15,6,1,,BOTH_COVERED
has_welding,boolean,15,14,1,,BOTH_COVERED
has_pile_work,boolean,14,11,1,,BOTH_COVERED
has_concrete_work,boolean,13,10,1,,BOTH_COVERED
has_asbestos,boolean,10,11,1,,BOTH_COVERED
worker_count,numeric,9,,,300,NUMERIC_PRESENCE_COVERED(no_repo_threshold)
has_subcontractor,boolean,8,12,1,,BOTH_COVERED
has_forklift,boolean,7,17,1,,BOTH_COVERED
has_radiation,boolean,7,8,1,,BOTH_COVERED
has_conveyor,boolean,6,25,1,,BOTH_COVERED
has_gas,boolean,6,11,1,,BOTH_COVERED
has_boiler,boolean,5,30,1,,BOTH_COVERED
has_grinding,boolean,5,11,1,,BOTH_COVERED
has_blasting,boolean,4,14,1,,BOTH_COVERED
has_high_place_work,boolean,4,19,1,,BOTH_COVERED
has_noise_work,boolean,4,15,1,,BOTH_COVERED
has_rolling,boolean,4,9,1,,BOTH_COVERED
has_steel_frame,boolean,4,15,1,,BOTH_COVERED
has_demolition,boolean,3,20,1,,BOTH_COVERED
has_gondola,boolean,3,10,1,,BOTH_COVERED
has_high_pressure_gas,boolean,3,26,1,,BOTH_COVERED
has_pressure_vessel,boolean,3,17,1,,BOTH_COVERED
has_chemical,boolean,2,11,1,,BOTH_COVERED
is_multi_use,boolean,2,1,1,,BOTH_COVERED
has_casting,boolean,1,10,1,,BOTH_COVERED
has_emergency_broadcast,boolean,1,10,1,,BOTH_COVERED
has_emergency_gen,boolean,1,14,1,,BOTH_COVERED
has_hazmat_storage,boolean,1,11,1,,BOTH_COVERED
has_painting,boolean,1,17,1,,BOTH_COVERED
has_press,boolean,1,19,1,,BOTH_COVERED
has_water_tank,boolean,1,13,1,,BOTH_COVERED
total_floor_area,numeric,1,,,76,NUMERIC_PRESENCE_COVERED(no_repo_threshold)
