group_checksum,representative,member,member_count,sector,boundary_note,classification,input_payload
c8db29c0a8921a4f,PF-0002,PF-0002,2,MANUFACTURING,,NON_CONTRACT_DIFFERENCE(REP),"{""facility"":{""has_conveyor"":true,""has_crane"":true,""has_press"":true,""total_floor_area"":60000.0,""worker_count"":300}}"
c8db29c0a8921a4f,PF-0002,PF-0071,2,MANUFACTURING,,DUPLICATE_RUNTIME_INPUT,"{""facility"":{""has_conveyor"":true,""has_crane"":true,""has_press"":true,""total_floor_area"":60000.0,""worker_count"":300}}"
3b88a552028e337a,PF-0004,PF-0004,2,MANUFACTURING,,NON_CONTRACT_DIFFERENCE(REP),"{""facility"":{""has_boiler"":true,""has_crane"":true,""total_floor_area"":15000.0,""worker_count"":50}}"
3b88a552028e337a,PF-0004,PF-0079,2,MANUFACTURING,,DUPLICATE_RUNTIME_INPUT,"{""facility"":{""has_boiler"":true,""has_crane"":true,""total_floor_area"":15000.0,""worker_count"":50}}"
1015305373d2801f,PF-0007,PF-0007,4,MANUFACTURING,,NON_CONTRACT_DIFFERENCE(REP),"{""facility"":{""has_boiler"":true,""has_high_pressure_gas"":true,""has_pressure_vessel"":true,""total_floor_area"":60000.0,""worker_count"":300}}"
1015305373d2801f,PF-0007,PF-0039,4,SPECIAL_FACILITY,,DUPLICATE_RUNTIME_INPUT,"{""facility"":{""has_boiler"":true,""has_high_pressure_gas"":true,""has_pressure_vessel"":true,""total_floor_area"":60000.0,""worker_count"":300}}"
1015305373d2801f,PF-0007,PF-0077,4,MANUFACTURING,,DUPLICATE_RUNTIME_INPUT,"{""facility"":{""has_boiler"":true,""has_high_pressure_gas"":true,""has_pressure_vessel"":true,""total_floor_area"":60000.0,""worker_count"":300}}"
1015305373d2801f,PF-0007,PF-0087,4,BUILDING,,DUPLICATE_RUNTIME_INPUT,"{""facility"":{""has_boiler"":true,""has_high_pressure_gas"":true,""has_pressure_vessel"":true,""total_floor_area"":60000.0,""worker_count"":300}}"
0fbf3466c1d136a6,PF-0009,PF-0009,2,MANUFACTURING,,NON_CONTRACT_DIFFERENCE(REP),"{""facility"":{""has_conveyor"":true,""total_floor_area"":15000.0,""worker_count"":50}}"
0fbf3466c1d136a6,PF-0009,PF-0015,2,MANUFACTURING,,DUPLICATE_RUNTIME_INPUT,"{""facility"":{""has_conveyor"":true,""total_floor_area"":15000.0,""worker_count"":50}}"
