profile_id,atom_id,law_article,law_name_BEFORE,applicability_BEFORE,law_name_AFTER,law_article_AFTER,applicability_AFTER,verdict
PF-2109,fd6d8b7d-6988-5566-a145-58205ce2ac77,21,산업안전보건기준에 관한 규칙,APPLICABLE,산업안전보건기준에 관한 규칙,21,APPLICABLE,SAME(stale)
PF-2109,4a63de61-8d0d-58ca-8a89-7df22bde9c5b,22,산업안전보건기준에 관한 규칙,APPLICABLE,산업안전보건기준에 관한 규칙,22,APPLICABLE,SAME(stale)
PF-2109,8802a9d1-d12f-5e02-808d-f18a1ddf60f1,26,산업안전보건기준에 관한 규칙,APPLICABLE,산업안전보건기준에 관한 규칙,26,APPLICABLE,SAME(stale)
PF-2109,dd5c7383-3d01-5565-8ef8-32e1d94cb350,30,산업안전보건기준에 관한 규칙,APPLICABLE,산업안전보건기준에 관한 규칙,30,APPLICABLE,SAME(stale)
PF-2109,a4b8422b-fb0b-5984-996d-cc6d90920df4,31,산업안전보건기준에 관한 규칙,APPLICABLE,산업안전보건기준에 관한 규칙,31,APPLICABLE,SAME(stale)
PF-2109,c5e81202-dcd3-5884-a70d-306ed0978ab1,35,산업안전보건기준에 관한 규칙,APPLICABLE,산업안전보건기준에 관한 규칙,35,APPLICABLE,SAME(stale)
PF-2109,e16a2391-a0df-5b6f-ab28-15d8bf5286b5,36,산업안전보건기준에 관한 규칙,APPLICABLE,산업안전보건기준에 관한 규칙,36,APPLICABLE,SAME(stale)
PF-2109,f7bb266f-d965-5675-ba2e-972ab1af5127,37,산업안전보건기준에 관한 규칙,APPLICABLE,산업안전보건기준에 관한 규칙,37,APPLICABLE,SAME(stale)
PF-2109,3c8a09fa-c9e7-5e64-b2d4-4d27be9b4091,38,산업안전보건기준에 관한 규칙,APPLICABLE,산업안전보건기준에 관한 규칙,38,APPLICABLE,SAME(stale)
PF-2109,d7be3706-e0a3-56c6-8664-285169cf342d,38,산업안전보건기준에 관한 규칙,APPLICABLE,산업안전보건기준에 관한 규칙,38,APPLICABLE,SAME(stale)
PF-2109,f13a858e-0414-51a8-8aac-f0cf6892c551,41,산업안전보건기준에 관한 규칙,APPLICABLE,산업안전보건기준에 관한 규칙,41,APPLICABLE,SAME(stale)
PF-2174,1d248a2e-cf88-5822-b51c-9075d72ca1cd,12,산업안전보건기준에 관한 규칙,APPLICABLE,산업안전보건기준에 관한 규칙,12,APPLICABLE,SAME(stale)
PF-2174,a233cece-0af7-553d-a6c4-b8f51264e0f4,15,산업안전보건기준에 관한 규칙,APPLICABLE,산업안전보건기준에 관한 규칙,15,APPLICABLE,SAME(stale)
PF-2174,5e4057a7-12e1-59f8-9911-afc73696e1b0,17,산업안전보건기준에 관한 규칙,APPLICABLE,산업안전보건기준에 관한 규칙,17,APPLICABLE,SAME(stale)
PF-2174,cacdac8d-39b8-5290-9d32-6b17e607e73b,20,산업안전보건기준에 관한 규칙,APPLICABLE,산업안전보건기준에 관한 규칙,20,APPLICABLE,SAME(stale)
PF-2174,ce59b35c-84bf-55ba-b58e-0902fd50b713,22,산업안전보건기준에 관한 규칙,APPLICABLE,산업안전보건기준에 관한 규칙,22,APPLICABLE,SAME(stale)
PF-2174,1ba2c57e-8685-524d-983f-9a1293afda8d,30,산업안전보건기준에 관한 규칙,APPLICABLE,산업안전보건기준에 관한 규칙,30,APPLICABLE,SAME(stale)
PF-2174,9c66dac6-43fc-5c76-8f55-8e508b444c22,41,산업안전보건기준에 관한 규칙,APPLICABLE,산업안전보건기준에 관한 규칙,41,APPLICABLE,SAME(stale)
PF-2174,ae0a74ad-9452-5677-8080-37d603eb0645,125,산업안전보건기준에 관한 규칙,APPLICABLE,산업안전보건기준에 관한 규칙,125,APPLICABLE,SAME(stale)
PF-2162,886a5841-9a6d-5805-aa00-bfb648df0464,22,산업안전보건기준에 관한 규칙,APPLICABLE,산업안전보건기준에 관한 규칙,22,APPLICABLE,SAME(stale)
PF-2162,e843bdd4-1c07-5bc1-9a85-e3f92b7c5c16,31,산업안전보건기준에 관한 규칙,APPLICABLE,산업안전보건기준에 관한 규칙,31,APPLICABLE,SAME(stale)
PF-2162,a0098d92-a822-56f5-91e1-6be333979e2a,44,산업안전보건기준에 관한 규칙,APPLICABLE,산업안전보건기준에 관한 규칙,44,APPLICABLE,SAME(stale)
PF-0099,21d45eb4-29a7-50d1-9834-515e7705bac6,16,산업안전보건기준에 관한 규칙,APPLICABLE,산업안전보건기준에 관한 규칙,16,APPLICABLE,SAME(stale)
